Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Per_hour,Salary,Min_salary,Max_salary,Average_salary,Job_State,Company_age,Python_yn,AI_yn,ML_yn,Statistic_yn,Simplified_title,Seniority,desc_len
Data Scientist,$64K - $106K (Glassdoor est.),"Secure our Nation, Ignite your Future
Overview
Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of solutions to promote efficient trade and travel. Further, effective solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.
As a Data Scientist on our team, a proven track record of delivering production ready decision support tools and applications employed in the field and by mission-support entities. Further, highly competitive applicants will have a demonstrated capacity to: work closely and collaboratively with mission stakeholders; respond to emergent, mission-driven changes in priorities and expected outcomes; and, apply new and emerging tools and techniques.",4.2,ManTech International Corporation,"Alexandria, VA",5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),0,64 - 106 ,64,106,85.0, VA,53,0,1,0,0,data scientist,not_specified,947
Sr. Data Scientist,$83K - $138K (Glassdoor est.),"Sr. Data Scientist -INF0001YE
Description

Analytics Sr. Consultant – Sr. Data Scientist – R&D
Description
Headquartered in the heart of downtown Chicago, CNA is a leading commercial and specialty insurer, offering a diverse range of insurance products including Workers Compensation, Property, General Liability, Professional Liability, Cyber Insurance, Surety, and Warranty. We are one of the world leaders in underwriting non-medical professionals, from lawyers and accountants to architects and management consultants.",3.6,CNA Insurance,"Chicago, IL",1001 to 5000 Employees,1897,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),0,83 - 138 ,83,138,110.5, IL,124,0,0,0,0,data scientist,senior,522
R&D Scientist,$38K - $68K (Glassdoor est.),"LGC, Biosearch Technologies is seeking a detail-oriented and analytical team player to fulfill the role of Scientist in our Research and Development group in Middleton, WI. The individual will provide technical assistance to the R&D group in the areas of nucleic acid amplification and next generation sequencing. Experience in design and development of quantitative PCR and RT-PCR assays is a plus. The hired individual must have the ability to multi-task while maintaining precise documentation of experiments performed.

Key responsibilities and accountabilities:
Amplification (qPCR, RT-qPCR, isothermal amplification, digital PCR)",3.5,LGC Limited,"Middleton, WI",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,38 - 68 ,38,68,53.0, WI,179,0,1,0,0,not_specified,not_specified,635
Data Scientist,$71K - $119K (Glassdoor est.),"Who Are We?
QinetiQ Inc. is a leading innovator with over 25 years of experience rapidly developing advanced C5ISR sensor solutions and is a renowned world leader in robotics and autonomy.
The combined QinetiQ U.S. business unit brings capabilities across the full lifecycle of technology development from applied research and development to rapid prototyping, testing, fielding, and sustainment. Our expertise with unmanned platforms, broad sensing modalities, and cross-domain interoperability ensures that we deliver integrated solutions for Warfighter dominance in all phases of combat.
We are a world-class team of professionals who deliver next generation technology and products in robotic and autonomous platforms and systems, ground systems, soldier systems, maritime systems, airborne sensors and payloads, processing and exploitation capabilities, and integrated C2 solutions. Much of our work contributes to innovative research in ﬁelds such as sensor science, signal processing, data fusion, artiﬁcial intelligence (AI), machine learning (ML), and augmented reality (AR).",2.5,QinetiQ Inc.,"Lorton, VA",501 to 1000 Employees,1956,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),0,71 - 119 ,71,119,95.0, VA,65,0,1,1,0,data scientist,not_specified,1084
Data Engineer,$44K - $87K (Glassdoor est.),"Schedule: Mon- Fri Overview:
The data engineer structures data for analytical access, performance and integration. The engineer must manage the balance of current and future needs in both design and content. This position designs and constructs enterprise-wide data and information architecture to support business intelligence and data integration management efforts. You will engineer and implement data warehouse and data mart concepts, and design and oversee strategies for data integration, metadata management, and business intelligence performance. You will partner with the business and leadership to prioritize data and information requirements and will help determine strategic direction of data asset management efforts.
Responsibilities:
Works with analytics information manager to develop a practical roadmap for analytic resource(s) and reporting platform(s).









Qualifications:",3.8,America First Credit Union,"Ogden, UT",1001 to 5000 Employees,1939,Nonprofit Organization,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),0,44 - 87 ,44,87,65.5, UT,82,0,0,0,0,data engineer,not_specified,898
Data Analyst,$41K - $74K (Glassdoor est.),"The Data Analyst will provide support to the Human Resource department and compliance by obtaining and using clinical data from multiple sources to support quality initiatives through analysis of data and preparation of reports
Qualifications: The Data Analyst must have a high school diploma (Associate or Bachelor's Degree preferred), previous related experience and /or training; or equivalent combination of education and experience. Further job requirements:
· Microsoft Excel super user possessing the ability to produce spreadsheets, graphs, pivot tables and charts
· Must be familiar with Microsoft Word and PowerPoint
· Strong Analytical skills, strong personal computer skills",3.1,Theradynamics,"Syosset, NY",501 to 1000 Employees,1999,Company - Private,Health Care Services & Hospitals,Health Care,Less than $1 million (USD),0,41 - 74 ,41,74,57.5, NY,22,0,1,0,0,analyst,not_specified,686
Solid Form Scientist,$45K - $98K (Glassdoor est.),"The ideal Solid Form Scientist candidate will have a strong background working in a GMP laboratory based role with broad experience of running and developing solid form properties and spectroscopic methods for analysis of multiple components in the presence of complex matrices. They will be able to demonstrate a deep knowledge of analytical science. The candidate will also have a strong track record of external communication and collaboration.
Key Responsibilities/Accountabilities:
To perform this job successfully, an individual must be able to perform each essential function satisfactorily.
Will work closely with other materials science experts and analytical teams to provide quality data and solid form characterization / surface properties methods which can be used to support regulatory documentation (e.g. new drug applications).",3.5,LGC Limited,"Petaluma, CA",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,45 - 98 ,45,98,71.5, CA,179,0,0,0,0,not_specified,not_specified,843
Principal Data Scientist,$104K - $170K (Glassdoor est.),"Working out of our Chevy Chase, MD/Washington DC office, GEICO's Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Principal Data Scientist, you will work with a talented and diverse team of data scientists with responsibility to:
Coordinate project teams of data scientists and supporting roles, acting as the primary point of contact in delivering end-to-end innovative, high-quality data solutions with measurable business value",3.5,GEICO,"Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),0,104 - 170 ,104,170,137.0, MD,85,0,1,0,0,data scientist,senior,972
Analytical Technologies Scientist I,$61K - $133K (Glassdoor est.),"Together, Let’s Make A Difference.

At Ajinomoto Bio-Pharma Services, our mission is to help improve the health of humankind. As a leading, global contract development and manufacturing organization, with sites in the US, Belgium, Japan and India, we work together to empower our clients to bring drugs to market.
Every team member, from manufacturing and quality programs to development and facilities services are a critical component to this effort. At our US location, our focused expertise and capabilities makes us one of the industry’s top leaders for large molecule manufacturing and aseptic drug product fill in vials and syringes.",4.0,Ajinomoto Bio-Pharma Services,"San Diego, CA",501 to 1000 Employees,1998,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),0,61 - 133 ,61,133,97.0, CA,23,0,0,0,0,not_specified,not_specified,640
Research Scientist I - Essentia,$34K - $75K (Glassdoor est.),"New product development of broths, stocks, flavors, animal fats and functional collagen products; lead and conduct pilot plant and production plant trials; support operations with technical expertise to improve quality / reduce cost of existing products; collaborate and provide technical support to internal cross functional groups and external customers; propose and identify new technological opportunities.
JOB QUALIFICATIONS:
Education and Experience:
Bachelor of Science degree plus a minimum of 4 years of experience
Master of Science plus 2 years of experience",2.8,The Lauridsen Group,"Ankeny, IA",501 to 1000 Employees,1969,Company - Public,Miscellaneous Manufacturing,Manufacturing,Unknown / Non-Applicable,0,34 - 75 ,34,75,54.5, IA,52,0,0,0,0,not_specified,not_specified,568
