Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Principal Data Scientist,$104K - $170K (Glassdoor est.),"Working out of our Chevy Chase, MD/Washington DC office, GEICO's Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Principal Data Scientist, you will work with a talented and diverse team of data scientists with responsibility to:
Coordinate project teams of data scientists and supporting roles, acting as the primary point of contact in delivering end-to-end innovative, high-quality data solutions with measurable business value",3.5,GEICO,"Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
Staff Data Scientist,$101K - $161K (Glassdoor est.),"Alteryx is searching for a Staff Data Scientist in our Boston office.
We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
Alteryx Innovation Labs
The Innovation Labs office, Alteryx's first office presence in Boston, was started earlier this year by the acquisition of MIT-spinout Feature Labs . This rapidly growing team combines the excitement of being part of a fast-paced, innovative startup with the resources, market penetration, and wisdom of a data analytics market leader. Our goal is to turbo-charge machine learning and data science efforts on the Alteryx platform, and to enable anyone to solve dynamic problems. We are working on high-impact, high-visibility projects, and we’re looking for collaborative and knowledge-hungry teammates who want to join us as we work to democratize machine learning.",3.6,"Alteryx, Inc.","Boston, MA",1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
R&D Scientist,$38K - $68K (Glassdoor est.),"LGC, Biosearch Technologies is seeking a detail-oriented and analytical team player to fulfill the role of Scientist in our Research and Development group in Middleton, WI. The individual will provide technical assistance to the R&D group in the areas of nucleic acid amplification and next generation sequencing. Experience in design and development of quantitative PCR and RT-PCR assays is a plus. The hired individual must have the ability to multi-task while maintaining precise documentation of experiments performed.

Key responsibilities and accountabilities:
Amplification (qPCR, RT-qPCR, isothermal amplification, digital PCR)",3.5,LGC Limited,"Middleton, WI",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Solid Form Scientist,$45K - $98K (Glassdoor est.),"The ideal Solid Form Scientist candidate will have a strong background working in a GMP laboratory based role with broad experience of running and developing solid form properties and spectroscopic methods for analysis of multiple components in the presence of complex matrices. They will be able to demonstrate a deep knowledge of analytical science. The candidate will also have a strong track record of external communication and collaboration.
Key Responsibilities/Accountabilities:
To perform this job successfully, an individual must be able to perform each essential function satisfactorily.
Will work closely with other materials science experts and analytical teams to provide quality data and solid form characterization / surface properties methods which can be used to support regulatory documentation (e.g. new drug applications).",3.5,LGC Limited,"Petaluma, CA",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
"Scientist I, Analytical Development",-1,"DESCRIPTION
The scientist I will be responsible for analytical method development and transfer under general supervision.
JOB DESCRIPTION
The key responsibilities of this role will be to help develop, transfer, optimize and qualify/validate test methods for client projects. The Scientist I will be required to have practical experience with one or more analytical methods, preferably in a cGMP environment. These assays include, but are not limited to, cell-based assays (potency, activity), viral titration methods (plaque assay, TCID50), ddPCR, qPCR, HPLC, ELISA, FACS. This role will also be responsible for maintaining mammalian tissue cultures.",-1,Matica Biotechnology,"College Station, TX",-1,-1,-1,-1,-1,-1
Lead Data Analyst,$30K - $53K (Glassdoor est.),"Job Title
Lead Data Analyst
Agency
Texas A&M University
Department
Academic Affairs Recruiting Office
Proposed Minimum Salary
Commensurate
College Station, Texas
Staff",4.4,Texas A&M University,"College Station, TX",10000+ Employees,1871,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
Business Intelligence Data Engineer,-1,"Welcome to Foresight Mental Health! We are a mental healthcare startup working to reinvent the mental healthcare space through the use of technology and data. Our approach to care is deeply holistic — our clinical team consists of psychiatrists, psychiatric NPs, neuropsychologists, therapists, and nutritionists. We function as a network of in-person outpatient services fused with remote telehealth offerings. We credential all of our providers with insurance panels in order to increase access and affordability to Foresight services.
Foresight is working to make mental healthcare data-driven, personalized, and technologically advanced. By leveraging our current technology stack (including genetic tests, next-generation clinical decision support software and analytics framework, wearables, and electronic patient outcome monitoring) combined with breakthrough treatments (like transcranial magnetic stimulation and Spravato), this enables us to deliver highly personalized, data-backed treatment plans to each of our members.",4.5,Foresight Mental Health,"Austin, TX",201 to 500 Employees,2018,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Research Scientist I - Essentia,$34K - $75K (Glassdoor est.),"New product development of broths, stocks, flavors, animal fats and functional collagen products; lead and conduct pilot plant and production plant trials; support operations with technical expertise to improve quality / reduce cost of existing products; collaborate and provide technical support to internal cross functional groups and external customers; propose and identify new technological opportunities.
JOB QUALIFICATIONS:
Education and Experience:
Bachelor of Science degree plus a minimum of 4 years of experience
Master of Science plus 2 years of experience",2.8,The Lauridsen Group,"Ankeny, IA",501 to 1000 Employees,1969,Company - Public,Miscellaneous Manufacturing,Manufacturing,Unknown / Non-Applicable
Data Scientist,$64K - $106K (Glassdoor est.),"Secure our Nation, Ignite your Future
Overview
Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of solutions to promote efficient trade and travel. Further, effective solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.
As a Data Scientist on our team, a proven track record of delivering production ready decision support tools and applications employed in the field and by mission-support entities. Further, highly competitive applicants will have a demonstrated capacity to: work closely and collaboratively with mission stakeholders; respond to emergent, mission-driven changes in priorities and expected outcomes; and, apply new and emerging tools and techniques.",4.2,ManTech International Corporation,"Alexandria, VA",5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD)
Senior Scientist,$51K - $111K (Glassdoor est.),"Position Summary:
The Senior Scientist is a multi-disciplinary molecular biology position that will provide leadership to the organization as part of the Integrated Solutions team, bringing curiosity, problem solving skills, and scientific acumen to LGC. The Integrated Solutions team supports various wings of the organization such as Research and Development, Sales, Marketing, Customer Service, and Manufacturing.
The scope of this position will include scientific leadership of new product development, research into previously unexplored areas, development of applications for existing products, and continued customer support. This may include developing new testing methodologies, troubleshooting data, converting potential customers to LGC products, and searching literature for emerging technologies in relevant fields. This position will require extensive knowledge from genomics, molecular biology, chemistry, PCR-based genetic analysis, and laboratory automation.",3.5,LGC Limited,"Alexandria, MN",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
